,entity_type,n_document,n_sentence,n_token,n_MISC,n_ALL,F1_mean,F1_std
739,Succulent113084184,5,488,10117,638,638,0.6708000000000001,0.04539343564878075
740,Tavern104395875,11,1030,24774,1078,1078,0.6092000000000001,0.1435651489742549
741,Secularist110574538,8,781,23686,831,831,0.5671800000000001,0.19554346217657087
742,PrimaBallerina110471640,6,579,14383,762,762,0.8393999999999998,0.048053719939251324
743,Berry107742704,8,750,22321,982,982,0.69268,0.12472724481844376
744,Campsite108518171,5,464,9953,473,473,0.6668399999999999,0.06292940806967756
745,Intelligence100981830,5,407,11630,424,424,0.5212399999999999,0.09063556917678622
746,DesignerDrug103179489,3,249,4953,325,325,0.65518,0.09023831558711631
747,Monoplane103783873,22,2192,55416,2373,2373,0.7175600000000001,0.07538447054931141
748,Glucoside114887801,2,153,3260,188,188,0.60004,0.12529973024711585
749,Charter106471737,19,1869,64001,1935,1935,0.69552,0.13764494033563313
750,HomopterousInsect102246011,4,393,8069,594,594,0.7600399999999999,0.06701917934442347
751,TeleostFish102528163,12,1158,24417,1583,1583,0.7958000000000001,0.04828034796892002
752,Parlance107081177,11,1078,31094,1095,1095,0.18705999999999998,0.09414912851428843
753,Motto107152259,37,3603,99418,3704,3704,0.39588,0.23233914349502108
754,NewsMagazine106596474,65,6461,228031,7531,7531,0.9282599999999999,0.008073809509766763
755,Assay100791527,5,413,9864,479,479,0.4379799999999999,0.04346540693471074
756,MusicSchool108283649,49,4804,138848,5718,5718,0.8028400000000001,0.04650722954552335
757,GrammaticalCategory106309383,20,1956,51650,2641,2641,0.744,0.09470499458845873
758,Metropolitan110313239,5,402,10230,437,437,0.60778,0.065316166452112
759,Evaluation105736149,11,1029,26481,1199,1199,0.5335799999999999,0.206259558808798
760,Drawing103234306,12,1134,28456,1273,1273,0.71476,0.0605794882777991
761,Synapsid101719403,8,753,11332,1105,1105,0.87776,0.02122146083567294
762,Pope110453533,88,8786,272696,11117,11117,0.8692399999999999,0.020795057104994942
763,Test101006675,3,255,6125,295,295,0.5950200000000001,0.07682742739412793
764,DynamicalSystem106246361,15,1454,35866,1643,1643,0.56088,0.11620112563998683
765,RiverBasin108518940,82,8163,248576,8988,8988,0.7663,0.048475560852866896
766,Sonneteer110625000,38,3762,204146,6867,6867,0.94324,0.01736025345437098
767,Transvestite110726031,4,311,8703,333,333,0.5828,0.09903575112049182
768,Appliance102729837,7,603,15756,666,666,0.37661999999999995,0.0516824302834145
769,Mountaineer110334567,6,557,10346,787,787,0.8600999999999999,0.02730597004319753
770,Board108322981,14,1344,36097,1505,1505,0.7045600000000001,0.06700643551182231
771,Guest110150940,39,3882,115819,5368,5368,0.92964,0.03970897127854108
772,Demonstration101177703,8,780,22759,904,904,0.5282600000000001,0.11956619254622103
773,Hall103478907,32,3149,100938,3504,3504,0.73814,0.09856844525506121
774,Stimulation105827684,8,783,16404,959,959,0.5782,0.17663933876687832
775,Kinsman110236946,36,3538,104776,4010,4010,0.74342,0.08470309085269558
776,Additive102679788,7,619,15353,700,700,0.4869600000000001,0.12851206324699638
777,GovernorGeneral110140597,10,968,26905,1016,1016,0.58498,0.08834736894780737
