,entity_type,n_document,n_sentence,n_token,n_entity,F1_mean,F1_std,FN_mean,FP_mean,TP_mean,P_mean,R_mean
0,StockTrader110657835,18,1753,52868,1907,0.74824,0.18304336753895237,134.4,14.0,247.0,0.9366200000000001,0.6527000000000001
1,Ma110278128,13,1239,37578,1514,0.74492,0.1118555210975301,111.4,16.2,191.4,0.9237,0.6432599999999999
2,HighPriest110175248,7,636,19265,836,0.6029,0.07575793027795835,83.0,26.2,84.2,0.76074,0.5023799999999999
3,Meteorite109352849,4,315,6289,340,0.5567200000000001,0.2093781211110655,36.8,6.8,31.2,0.78628,0.45733999999999997
4,Pipe103944672,11,1079,28401,1366,0.67206,0.0529950035380695,112.4,42.4,160.8,0.7898000000000001,0.58726
5,Queen110499857,14,1339,39488,1464,0.64824,0.12399717093546932,127.8,42.6,165.0,0.7811999999999999,0.5600799999999999
6,Byway102930645,16,1540,42638,1687,0.56818,0.07945767175043579,183.2,49.8,154.2,0.7534599999999999,0.45772
7,Clock103046257,7,648,16478,725,0.58578,0.11597100327236978,74.6,22.4,70.4,0.7513400000000001,0.4866599999999999
8,Prefect110465128,14,1366,38537,1465,0.53788,0.03296212371798879,169.2,43.2,123.8,0.7461400000000001,0.42191999999999996
9,Terror110702483,69,6843,199345,7064,0.6156400000000001,0.1248793593833665,751.4,35.6,661.4,0.9461,0.46816
10,Isotope114619658,15,1442,43222,2438,0.7989599999999999,0.04541169893320439,123.4,59.0,374.8,0.8616199999999999,0.7469
11,Candidiasis114181713,6,539,9508,643,0.86188,0.03289367112378914,25.2,7.8,103.4,0.9296199999999999,0.80414
12,Duration115133621,9,900,23823,1075,0.772,0.08403316012146632,66.8,22.6,148.2,0.86754,0.7031
13,Turbine104498523,7,636,16329,666,0.65042,0.20646269784152294,56.0,18.4,77.2,0.7955599999999999,0.58624
14,Constable109959142,12,1168,35677,1208,0.60158,0.08331589044113973,123.4,28.8,118.2,0.8052199999999999,0.48986
15,Polymer114994328,20,1937,49623,2480,0.63892,0.03249543968005359,242.0,43.6,254.0,0.85268,0.51154
16,Navy108191701,105,10417,297081,11194,0.9086599999999999,0.03257340019095333,259.0,140.2,1979.8,0.93376,0.88562
17,Dodger110022759,3,202,6632,221,0.74038,0.1299586918986183,16.8,1.2,27.4,0.9552800000000001,0.622
18,Herbicide114906850,3,277,7318,375,0.6434199999999999,0.09497884817157976,36.4,6.8,38.6,0.8544,0.5196
19,Bryophyte111537327,2,186,3089,236,0.5914200000000001,0.09910758598613932,23.6,8.0,23.6,0.73822,0.4979
20,Antidepressant102718811,6,592,14633,745,0.6934,0.10272783459218833,64.6,8.8,84.4,0.9063799999999999,0.5741400000000001
21,NavalWeaponry103812924,13,1269,39078,1576,0.70534,0.029534359651091135,107.0,69.0,210.0,0.75402,0.66306
22,Promenade104010205,8,780,20561,817,0.5175799999999999,0.07751467990000344,99.6,17.6,63.8,0.7788000000000002,0.39109999999999995
23,ScaleInsect102248510,2,161,3411,248,0.7531800000000001,0.057220499823052946,14.2,9.0,35.4,0.79968,0.71384
24,Epidemic107435533,17,1621,46360,1675,0.7493200000000001,0.12259144178938432,98.4,52.2,236.8,0.8129200000000001,0.70938
25,Criticism106710546,7,657,18428,689,0.5359200000000001,0.23353673287086985,76.0,13.4,61.8,0.7965000000000001,0.45036
26,Protest101177033,23,2258,64612,2426,0.5832,0.12536884780518642,251.6,69.0,233.6,0.76172,0.4807
27,Feather101896031,6,531,14383,552,0.67876,0.24503330875617704,46.2,4.8,64.2,0.91164,0.5909
28,Premiere106893285,17,1638,53671,3111,0.87292,0.033661693362039884,106.2,39.6,516.0,0.92766,0.8254999999999999
29,Lemur102496913,3,285,4148,398,0.9028,0.018283872675120032,9.4,5.4,70.2,0.92738,0.87964
30,Biophysicist109856267,10,914,24133,1092,0.7495,0.07321188428117392,75.4,16.0,143.0,0.8978400000000001,0.6495
31,Busker109883174,71,7066,213154,8034,0.84832,0.029430011892624147,387.2,45.6,1219.6,0.9639800000000001,0.75862
32,DueProcess101181475,7,610,18489,618,0.48718000000000006,0.17045046670513986,77.0,11.2,46.6,0.82204,0.37718
33,Etymology106514621,15,1436,36013,1451,0.7836799999999999,0.2675679457633145,74.0,13.6,216.2,0.93818,0.74592
34,Retailer110525436,8,731,20320,761,0.26132,0.09720906130603259,125.4,16.0,26.8,0.67778,0.17578
35,WebLog106402202,16,1503,44371,1626,0.6157,0.16660045618184843,158.4,36.8,166.8,0.8012599999999999,0.51538
36,Shipwright110590764,6,520,13650,554,0.62924,0.05823622927353726,51.6,16.8,59.2,0.78722,0.5340199999999999
37,AnxietyDisorder114380473,12,1129,31511,1256,0.58744,0.10539820871343118,131.4,30.6,119.8,0.79664,0.4801
38,FarmBuilding103322570,6,534,12354,632,0.7597800000000001,0.060984502949519924,38.2,16.4,88.2,0.84156,0.69586
39,Industry108065234,43,4217,114375,4479,0.66126,0.0886581434499956,411.4,78.2,484.4,0.85728,0.54254
40,Dinghy103199901,3,202,4704,258,0.52366,0.10958057492092292,31.2,3.8,20.4,0.8568999999999999,0.38627999999999996
41,Brew107886572,3,230,5739,274,0.5607,0.12600274600182326,31.2,2.8,23.6,0.88636,0.42105999999999993
42,BallGame100471437,127,12665,332752,13566,0.8897,0.05816510981679653,405.2,164.8,2308.0,0.93244,0.8534599999999999
43,FungusOrder111594676,3,222,4773,306,0.9087000000000002,0.017607952748687164,6.2,5.0,55.0,0.9247200000000001,0.89574
44,Degree113939892,4,339,9641,381,0.6797,0.09449027463183711,31.0,9.6,45.2,0.82412,0.5885
45,Anesthetic102710766,4,333,7124,384,0.51058,0.14310318514973733,47.0,7.6,29.8,0.7958000000000001,0.38686
46,Handbook106421301,11,1082,30983,1205,0.53698,0.11811515398118903,138.6,31.0,102.6,0.75656,0.42384000000000005
47,Pterosaur101722998,6,505,11700,844,0.7846,0.07297043236818597,42.0,22.4,126.8,0.84756,0.7386799999999999
48,Fiber114866889,6,521,13447,659,0.6332000000000001,0.2032227841557142,61.6,8.2,70.2,0.8714000000000001,0.52382
49,PartyGame100458800,5,427,10310,461,0.40843999999999997,0.1168521561632476,66.4,4.0,25.8,0.85136,0.27470000000000006
50,Base102798290,18,1711,45051,1906,0.74734,0.05319442076007594,131.0,37.6,250.2,0.8682599999999999,0.658
51,Ornithischian101700470,13,1259,31102,2311,0.9016,0.006086049621881188,47.6,42.8,414.6,0.90636,0.8970800000000001
52,Landing103638321,30,2926,77386,3047,0.72348,0.17762720962735412,231.8,24.0,377.6,0.9373400000000001,0.62314
53,Reservoir113776854,3,295,7290,310,0.5292399999999999,0.04058041892341675,35.4,12.0,26.6,0.69838,0.429
54,PlanetaryNebula109394797,1,88,1646,101,0.8152799999999999,0.047104793811246014,4.6,2.6,15.6,0.8628599999999998,0.7739
55,Ape102470325,9,836,23788,1032,0.7527400000000001,0.06277428135789372,70.6,18.6,135.8,0.88046,0.66396
56,SpaceProbe104265668,18,1707,49616,2370,0.80738,0.016719497600107512,119.4,49.2,354.6,0.87762,0.74764
57,MarineEngineer110294421,5,469,13096,475,0.6190399999999999,0.0943824263303291,46.2,12.0,48.8,0.8029,0.5134399999999999
58,AircraftCarrier102687172,11,1012,28459,1231,0.7542,0.051051934341413585,83.2,21.6,163.0,0.88246,0.66112
59,Calculation105802185,7,617,14244,671,0.5826800000000001,0.06190894604174746,72.6,15.2,61.6,0.80252,0.46012000000000003
60,SmartCard113377003,6,516,13692,683,0.6142800000000002,0.07209908182494419,65.4,22.6,71.2,0.75932,0.5228400000000001
61,Slum108651832,6,534,14211,686,0.54264,0.14095221317879333,76.6,12.8,60.6,0.81598,0.4237
62,TenorSaxophonist110701962,26,2593,69938,3506,0.9143799999999999,0.032248187545969156,96.6,14.6,604.6,0.9763,0.8615
63,Tetrapod102156732,3,264,6439,371,0.64896,0.22053745804284586,31.6,5.2,42.6,0.8755600000000001,0.54988
64,SpecialEffect105917994,15,1497,43343,1652,0.61946,0.14041517866669542,157.8,41.6,172.6,0.79388,0.52352
65,AdvertisingCampaign100798959,3,208,5850,214,0.29932000000000003,0.12199900655333223,34.0,4.8,8.8,0.65246,0.20636000000000002
66,Noise107387509,13,1206,36466,1272,0.7400399999999999,0.07242434949656089,88.8,25.8,165.6,0.8628199999999999,0.6516200000000001
