,entity_type,n_sentence,F1_Stanford,Neuro_n_epochs,Neuro_duration,Neuro_F1_on_train_set,Neuro_F1_on_valid_set
223,Lookout103688943,345,0.6506000000000001,33,324,90.94,54.01
224,Connection113791389,346,0.63832,17,169,79.86,80.25
225,Pteridophyte111545524,347,0.68488,17,171,87.69,73.58
226,Fanjet103321103,347,0.6839999999999999,15,154,78.99,68.32
227,SignLanguage106875697,349,0.8418399999999999,14,142,88.42,76.3
228,Pathology114204950,354,0.63384,19,164,82.87,56.3
229,Inspector110208847,357,0.6847599999999999,30,319,97.54,68.7
230,Inaction114010148,359,0.51998,15,155,73.96,65.06
231,BlackHole109223177,360,0.5031399999999999,16,170,79.87,78.98
232,PrintingConcern108069627,363,0.33588,13,132,78.75,51.76
233,LanguageSchool108282950,364,0.6701599999999999,16,180,81.25,88.44
234,Yacht104610013,365,0.5566199999999999,18,178,78.41,54.02
235,Encyclical106625062,365,0.75888,25,313,93.53,87.16
236,WaterCompany108186546,366,0.66848,14,152,77.1,71.08
237,Monomer114682963,366,0.5616800000000001,19,202,83.05,45.83
238,AutosomalDominantDisease114162025,367,0.63646,26,265,91.96,68.57
239,Bunchgrass112103476,368,0.76768,35,402,90.27,80.87
240,SymphonicPoem107047373,368,0.6026,25,276,93.67,81.87
241,Flatbread107682624,370,0.49046,21,211,82.06,44.32
242,ScienceTeacher110560548,373,0.4509,23,240,94.91,63.47
243,Sloop104242408,373,0.8272400000000001,25,291,93.2,68.83
244,Dock103217191,373,0.79988,31,321,94.37,79.57
245,BowedStringedInstrument102880546,374,0.5555,14,153,77.23,45.71
246,Spice115050011,375,0.21372,27,304,84.24,40.7
247,Survey100644503,376,0.57252,22,245,83.92,46.77
248,Doge110023264,377,0.8540800000000001,13,127,93.31,77.78
249,Identity104618070,379,0.54948,21,241,81.25,62.42
250,Trouble105687338,381,0.6615,20,227,81.82,70.89
251,Crab101976957,382,0.6386799999999999,25,238,85.98,60.96
252,BloodTest105742551,383,0.43752,21,224,70.42,39.1
253,Biopsy105740929,383,0.43752,26,275,78.03,48.89
254,NoncommissionedOfficer110360747,384,0.40498,12,137,81.22,35.0
255,Native109620794,384,0.52636,21,222,86.63,64.71
256,Quartermaster110498986,386,0.41136000000000006,10,121,85.57,57.14
257,Speechwriter110631654,386,0.65666,11,137,89.44,73.03
258,Conduction111512818,387,0.42091999999999996,32,361,90.52,62.86
259,Discharge111511523,387,0.42091999999999996,25,284,87.52,55.32
260,ElectricalConduction111512650,387,0.42091999999999996,16,185,83.63,53.33
261,Mural103799710,388,0.4196999999999999,23,276,82.14,76.82
262,Escarpment109274152,388,0.68738,33,360,93.1,71.79
263,Epidemiologist110061882,391,0.5938199999999999,16,173,86.24,81.21
264,Band102784218,393,0.49408,26,279,80.11,54.76
265,HomopterousInsect102246011,393,0.7600399999999999,15,152,80.04,70.29
266,Strip104339291,393,0.49408,29,311,82.34,58.7
267,ComprehensiveSchool108413248,394,0.7100799999999999,16,162,84.9,74.35
268,Cloud111439690,395,0.6392,28,288,88.67,70.65
269,Failure100066636,395,0.39432,15,166,68.93,38.33
270,Photograph103925226,395,0.6493400000000001,11,129,73.31,75.19
271,NurseryRhyme107222728,395,0.8264400000000001,20,214,92.84,77.37
272,Analgesic102707683,395,0.62608,36,400,88.26,81.52
273,Crossing100297532,397,0.4107799999999999,10,117,67.45,74.53
274,Gazette106267655,400,0.5771599999999999,40,451,92.76,69.01
275,Knife103623556,401,0.38068,14,158,72.73,39.38
276,Metropolitan110313239,402,0.60778,22,248,79.82,69.07
277,Polysaccharide114994004,402,0.6184,25,291,89.25,69.52
278,AnimalSkin114758842,403,0.3988200000000001,21,233,82.96,55.09
279,Machinery103701640,403,0.5804,18,175,83.85,59.65
280,SealingWax104160036,403,0.6200399999999999,10,105,81.43,55.0
281,LiveryCompany108186898,404,0.8748600000000002,8,99,85.71,77.35
282,Hairdresser110155849,407,0.7001,20,228,88.68,76.13
283,Intelligence100981830,407,0.5212399999999999,16,193,75.04,57.35
284,InformationGathering100981711,407,0.5212399999999999,22,264,80.51,57.53
285,LargeIndefiniteQuantity113757724,409,0.6053200000000001,29,308,89.43,42.62
286,Cancer114239918,409,0.6007600000000001,17,192,82.74,58.64
287,Embryology106071426,410,0.7261,41,469,95.06,71.75
288,DietarySupplement107562495,411,0.29818,31,376,86.69,51.46
289,Bacteriologist109831411,412,0.62752,17,195,88.25,72.81
290,FinancialAnalyst109790865,412,0.7486200000000001,11,136,87.07,79.61
291,DiagnosticTest105739043,412,0.43498,15,181,64.2,41.98
292,Pachyderm102453108,412,0.57672,16,190,76.63,59.91
293,Dragonfly102268443,413,0.8375,14,148,89.21,82.26
294,Assay100791527,413,0.4379799999999999,30,331,83.13,48.28
295,InorganicCompound114919511,414,0.5159,12,138,72.35,30.14
296,Leporid102323902,414,0.5927800000000001,21,244,87.78,81.82
297,CruiseShip103141327,414,0.6835600000000001,23,261,86.15,63.74
298,Sender110578762,415,0.72582,30,340,90.67,70.73
299,Plug103967942,421,0.54832,11,133,83.53,30.4
300,Pyrimidine114999913,421,0.6691800000000001,28,303,85.5,75.68
301,Blockage102853449,421,0.54832,19,220,87.59,43.24
302,Relay100318567,422,0.81258,18,206,87.08,65.52
303,Shotgun104206356,422,0.6872999999999999,24,278,80.99,61.48
304,Noodle107699584,422,0.6001799999999999,30,328,84.1,57.26
305,Passage100318035,422,0.81258,17,138,86.67,63.28
306,Woodcarver110789963,422,0.55632,34,259,96.2,69.18
307,Jersey103595614,423,0.6791,20,162,77.99,66.09
308,Stimulant104320126,425,0.77282,48,404,92.65,75.83
309,Autobiography106516087,426,0.39084,21,190,85.37,66.67
310,Switch104372370,427,0.43236,28,232,83.9,66.04
311,Glider103439814,427,0.6772400000000001,27,187,91.72,72.12
312,PartyGame100458800,427,0.40844,35,274,91.51,71.76
313,Analyst109791530,428,0.7588000000000001,32,276,96.72,83.48
314,EdibleFat107672135,428,0.5222399999999999,24,219,85.13,85.56
315,Charge113306870,428,0.47328,21,163,80.5,47.83
316,Landgrave110245029,430,0.71922,30,235,92.23,62.86
317,Moor109358751,431,0.7329600000000001,31,254,92.79,65.61
318,Velodrome104524833,433,0.7148399999999999,26,218,94.87,77.01
319,MalignantTumor114239425,433,0.56558,11,94,76.84,55.13
320,Band108249038,433,0.47562,21,180,76.6,51.14
321,Malignancy114237561,433,0.56558,12,102,76.14,54.55
322,EdgeTool103265032,434,0.38668,15,128,73.71,35.35
323,Landslide107474185,435,0.6905600000000001,26,231,90.7,63.41
324,Purine114706749,435,0.7383000000000001,22,200,86.56,73.77
325,Target107262108,436,0.68672,29,226,93.74,56.82
326,Indicator107262579,436,0.68672,33,255,92.17,47.68
327,Cutlery103153375,439,0.42012,22,175,86.49,54.88
328,DentalSchool108281963,439,0.73878,26,209,91.64,76.74
329,Jewel103596787,440,0.6479199999999999,36,335,91.63,65.74
330,Mark106817782,443,0.52952,22,206,77.65,55.96
331,Joke106778102,445,0.11752,12,115,78.85,19.82
332,PhotographicPaper103926412,446,0.5841999999999999,16,124,81.1,75.68
333,Film103338821,446,0.5841999999999999,17,131,82.09,76.19
334,Trouser104489008,446,0.47634,16,132,75.9,56.57
