,entity_type,N_fold0,N_fold1,N_fold2,N_fold3,N_fold4,N_avg,N_std
102,Moneran101342269,0.8608,0.8806999999999999,0.7857,0.8276,0.7391,0.81878,0.05122645410332438
103,CarnivorousBat102141306,0.9167000000000001,0.8456999999999999,0.8652,0.9383,0.9333,0.89984,0.037454163987466114
104,Oncologist110377633,0.7071,0.7609,0.76,0.7256999999999999,0.7254999999999999,0.7358399999999998,0.021201094311379343
105,Ranch104052442,0.5870000000000001,0.6881999999999999,0.6506000000000001,0.6729,0.6731,0.6543599999999999,0.03575352290334475
106,Nunnery103835853,0.78,0.6457999999999999,0.7629,0.6742,0.7473000000000001,0.72204,0.05247508361117687
107,RailroadTunnel104048441,0.5747,0.7917000000000001,0.6154,0.6383,0.4211,0.60824,0.11896112978616169
108,Imidazole114916670,0.5818,0.5536,0.7547,0.5225,0.48979999999999996,0.5804799999999999,0.09237037187323652
109,Endocrinologist110056914,0.7387,0.6897,0.7339,0.7475,0.6346,0.7088800000000001,0.04217138366238414
110,RegularPayment113281275,0.6972,0.5946,0.46049999999999996,0.6504000000000001,0.5263,0.5858000000000001,0.08473594278698979
111,CleansingAgent103040587,0.35159999999999997,0.3119,0.64,0.531,0.42479999999999996,0.45186000000000004,0.1200274235331243
112,DerivedFunction106014730,0.4337,0.625,0.6374,0.5,0.3182,0.50286,0.11992480310594636
113,DesignerDrug103179489,0.8667,0.4167,0.6713,0.6984,0.6338,0.6573800000000001,0.1443427504241207
114,Pagoda103874965,0.5577000000000001,0.6393,0.6446,0.6024,0.56,0.6008,0.03721693163064355
115,Fluorescein114987695,0.4966,0.5688,0.5207999999999999,0.3654,0.6714,0.5246,0.09964633460393814
116,AbsorptionIndicator114598383,0.5586,0.5546,0.5474,0.3932,0.6568999999999999,0.54214,0.0846248568684166
117,Indicator114917208,0.5036999999999999,0.6087,0.49090000000000006,0.4274,0.5191,0.5099600000000001,0.05839820545188012
118,Salad107806221,0.4889,0.5097999999999999,0.5487,0.7167,0.8036,0.61354,0.1243110067532236
119,SchoolShip104146862,0.7805,0.5227,0.6265,0.6179,0.5487,0.61926,0.08983891361765232
120,Copy103104594,0.4819,0.7707999999999999,0.5806,0.5472,0.23879999999999998,0.52386,0.1719089247246925
121,Seafood107776866,0.732,0.6622,0.6351,0.8054000000000001,0.5714,0.68122,0.08068274660669407
122,Democrat110002031,0.8234999999999999,0.8468000000000001,0.8868,0.9434,0.9057,0.88124,0.04245725379720173
123,Test101006675,0.5401,0.8142,0.6598,0.6667000000000001,0.6496,0.66608,0.08731770496296842
124,Vodka107906111,0.6667000000000001,0.419,0.48229999999999995,0.624,0.6522,0.56884,0.09950808208381873
125,Elasmobranch101482071,0.4,0.4174,0.6726000000000001,0.2826,0.43560000000000004,0.44164000000000003,0.12727465733601487
126,Shark101482330,0.5111,0.4,0.7069,0.3111,0.40399999999999997,0.46662,0.13583733507397736
127,Salamander101629276,0.6667000000000001,0.6901,0.8454999999999999,0.8154,0.8527,0.77408,0.079463662135595
128,Sulfide115063699,0.7106999999999999,0.5714,0.7547,0.7429000000000001,0.5882000000000001,0.6735800000000001,0.07809495246173084
129,Barrio108676349,0.9224,0.9164,0.9587,0.9006000000000001,0.9647,0.93256,0.024908199453192097
130,Column103074380,0.375,0.433,0.8737999999999999,0.6304,0.3922,0.5408799999999999,0.18979439823134925
131,Obelisk103837869,0.4045,0.49479999999999996,0.8571,0.6392,0.4255,0.5642199999999999,0.16791280356184873
132,Fastener110080337,0.40380000000000005,0.3182,0.48090000000000005,0.4902,0.35,0.40862,0.06857843392787563
133,Maar109344724,0.5714,0.7719,0.7523000000000001,0.5455,0.6792,0.6640600000000001,0.09196448444916117
134,SimpleClosedCurve113868371,0.6336999999999999,0.5243,0.6435,0.5455,0.7597,0.62134,0.08361314729155937
